	labial:+;coronal:-;dorsal:-	labial:-;coronal:+;dorsal:-	labial:-;coronal:-;dorsal:+	count	markedness_count
periodicGlottalSource:-;sonorant:-;nasal:-	f	s	x	3/3	1.0
periodicGlottalSource:+;sonorant:-;nasal:-	v	z		2/3	0.7572614721711824
periodicGlottalSource:+;sonorant:+,-;nasal:+,-	ɱv			1/3	0.45737396101974265
	3/3	2/3	1/3
	1.0	0.9987338346714909	0.7047720672108528
