	labial:+;coronal:-;anterior:0;distributed:0;dorsal:-;front:0	labial:-;coronal:+;anterior:+;distributed:-;dorsal:-;front:0	labial:-;coronal:+;anterior:-;distributed:+;dorsal:+;front:+	labial:-;coronal:-;anterior:0;distributed:0;dorsal:+;front:-	count	markedness_count
periodicGlottalSource:+;spreadGlottis:-	b	d		ɡ	3/4	0.9228733421759676
periodicGlottalSource:-;spreadGlottis:+	pʰ	tʰ	cʰ	kʰ	4/4	1.0
	2/2	2/2	1/2	2/2
	1.0	1.0	0.19302159655550252	1.0
