	labial:+;coronal:-;dorsal:-;retractedTongueRoot:-	labial:-;coronal:+;dorsal:-;retractedTongueRoot:-	labial:-;coronal:-;dorsal:+;retractedTongueRoot:+	count	markedness_count
periodicGlottalSource:+			ʕ	1/3	0.016772623827723713
periodicGlottalSource:-	f	s	ħ	3/3	1.0
	1/2	1/2	2/2
	0.663071436692831	0.7876094648751162	1.0
