	labial:+;labiodental:-;coronal:-;strident:0;anterior:0;dorsal:-;high:0;low:0;back:0;retractedTongueRoot:- | labial:+;labiodental:+;coronal:-;strident:0;anterior:0;dorsal:-;high:0;low:0;back:0;retractedTongueRoot:- | labial:+;labiodental:+,-;coronal:-;strident:0;anterior:0;dorsal:-;high:0;low:0;back:0;retractedTongueRoot:-;round:-,+	labial:-;labiodental:0;coronal:+;strident:-;anterior:+;dorsal:-;high:0;low:0;back:0;retractedTongueRoot:- | labial:-;labiodental:0;coronal:+;strident:+;anterior:+;dorsal:-;high:0;low:0;back:0;retractedTongueRoot:- | labial:-;labiodental:0;coronal:+;strident:-,+;anterior:+;dorsal:-;high:0;low:0;back:0;retractedTongueRoot:- | labial:-;labiodental:0;coronal:+;strident:+;anterior:-;dorsal:-;high:0;low:0;back:0;retractedTongueRoot:-;distributed:- | labial:-;labiodental:0;coronal:+;strident:+;anterior:-;dorsal:-;high:0;low:0;back:0;retractedTongueRoot:-;distributed:+ | labial:-;labiodental:0;coronal:+;strident:+;anterior:+;dorsal:-;high:0;low:0;back:0;retractedTongueRoot:-;distributed:- | labial:-;labiodental:0;coronal:+;strident:+;anterior:+;dorsal:-;high:0;low:0;back:0;retractedTongueRoot:-;distributed:+	labial:-;labiodental:0;coronal:+;strident:-;anterior:-;dorsal:-;high:0;low:0;back:0;retractedTongueRoot:-	labial:-;labiodental:0;coronal:-;strident:0;anterior:0;dorsal:+;high:+;low:-;back:-;retractedTongueRoot:- | labial:-;labiodental:0;coronal:+;strident:+;anterior:+;dorsal:+;high:+;low:-;back:-;retractedTongueRoot:-;distributed:+;front:+ | labial:-;labiodental:0;coronal:+;strident:-;anterior:-;dorsal:+;high:+;low:-;back:-;retractedTongueRoot:-;distributed:+;front:+ | labial:-;labiodental:0;coronal:+;strident:+;anterior:-;dorsal:-,+;high:+;low:-;back:-;retractedTongueRoot:-;distributed:+;front:+ | labial:-;labiodental:0;coronal:-;strident:0;anterior:0;dorsal:+;high:-;low:-;back:+;retractedTongueRoot:- | labial:-;labiodental:0;coronal:+;strident:+;anterior:+;dorsal:+;high:-;low:-;back:+;retractedTongueRoot:-;distributed:+;front:+ | labial:-;labiodental:0;coronal:+;strident:-;anterior:-;dorsal:+;high:-;low:-;back:+;retractedTongueRoot:-;distributed:+;front:+ | labial:-;labiodental:0;coronal:+;strident:+;anterior:-;dorsal:-,+;high:-;low:-;back:+;retractedTongueRoot:-;distributed:+;front:+ | labial:-;labiodental:0;coronal:-;strident:0;anterior:0;dorsal:+;high:-;low:+;back:+;retractedTongueRoot:+ | labial:-;labiodental:0;coronal:+;strident:+;anterior:+;dorsal:+;high:-;low:+;back:+;retractedTongueRoot:+;distributed:+;front:+ | labial:-;labiodental:0;coronal:+;strident:-;anterior:-;dorsal:+;high:-;low:+;back:+;retractedTongueRoot:+;distributed:+;front:+ | labial:-;labiodental:0;coronal:+;strident:+;anterior:-;dorsal:-,+;high:-;low:+;back:+;retractedTongueRoot:+;distributed:+;front:+	count	markedness_count
periodicGlottalSource:+;category:plosive	b	d	ɖ	ɡ	4/4	1.0
periodicGlottalSource:-;category:plosive | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:plosive		t		k	2/4	0.6882301186341498
periodicGlottalSource:+;category:fricative				ʕ	1/4	0.19197680370086112
periodicGlottalSource:-;category:fricative | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative	f	s		ħ	3/4	0.9961982965685243
	2/4	3/4	1/4	4/4
	0.42232238171219566	0.8918361388223514	0.17325416647918152	1.0
