	labial:+;coronal:-;anterior:0;distributed:0;dorsal:-	labial:-;coronal:+;anterior:+;distributed:-;dorsal:-	labial:-;coronal:+;anterior:-;distributed:+;dorsal:-	labial:+;coronal:-;anterior:0;distributed:0;dorsal:-,+	count	markedness_count
periodicGlottalSource:+		z			1/4	0.47119836330530196
periodicGlottalSource:-	f	s	ʃ	fʲ	4/4	1.0
	1/2	2/2	1/2	1/2
	0.6625450972908989	1.0	0.7783204924998441	0.463223466981357
