	labial:+;labiodental:+;coronal:-;high:0;low:0;front:0;back:0;round:-	labial:+;labiodental:+,-;coronal:-;high:0;low:0;front:0;back:0;round:-,+	labial:-;labiodental:0;coronal:+;high:0;low:0;front:0;back:0;round:0	labial:-,+;labiodental:-;coronal:+;high:0;low:0;front:0;back:0;round:+	count	markedness_count
periodicGlottalSource:+	v	vʷ	z	zʷ	4/4	1.0
periodicGlottalSource:-	f	fʷ	s	sʷ	4/4	1.0
	2/2	2/2	2/2	2/2
	1.0	1.0	1.0	1.0
