	labial:+;coronal:-;strident:0;dorsal:-;round:-	labial:-;coronal:+;strident:-;dorsal:-;round:0 | labial:-;coronal:+;strident:+;dorsal:-;round:0 | labial:-;coronal:+;strident:-,+;dorsal:-;round:0 | labial:-;coronal:+;strident:+;dorsal:-;round:0;distributed:- | labial:-;coronal:+;strident:+;dorsal:-;round:0;distributed:+ | labial:-;coronal:+;strident:+;dorsal:-;round:0;anterior:+;distributed:+	labial:+;coronal:-;strident:0;dorsal:+;round:-	labial:-;coronal:-;strident:0;dorsal:+;round:0 | labial:-;coronal:+;strident:+;dorsal:+;round:0;anterior:+;distributed:+;front:+ | labial:-;coronal:+;strident:-;dorsal:+;round:0;anterior:-;distributed:+;front:+ | labial:-;coronal:+;strident:+;dorsal:-,+;round:0;anterior:-;distributed:+;high:+;low:-;front:+;back:-	labial:-,+;coronal:-;strident:0;dorsal:+;round:+ | labial:-,-,+;coronal:-;strident:0;dorsal:+;round:+ | labial:-,+;coronal:+;strident:-;dorsal:+;round:+;anterior:-;distributed:+;front:+ | labial:-,-,+;coronal:+;strident:-;dorsal:+;round:+;anterior:-;distributed:+;front:+ | labial:-,+;coronal:+;strident:+;dorsal:-;round:+;anterior:-;distributed:+;high:0;low:0;front:0;back:0 | labial:-,-,+;coronal:+;strident:+;dorsal:-;round:+;anterior:-;distributed:+;high:0;low:0;front:0;back:0	count	markedness_count
periodicGlottalSource:+;category:plosive	b	d	ɡb	ɡ	ɡʷ	5/5	1.0
periodicGlottalSource:-;category:plosive | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:plosive	p	t	kp	k	kʷ	5/5	1.0
periodicGlottalSource:+;category:fricative		z	-			1/4	0.6278047105037183
periodicGlottalSource:-;category:fricative | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative		s	-			1/4	0.7376356878725512
	2/4	4/4	2/2	2/4	2/4
	0.7766884497780546	1.0	1.0	0.8183560558858897	0.7304314853309757
