	labiodental:0;lateral:+;strident:-;high:0;low:0;front:0;back:0;round:0	labiodental:0;lateral:-;strident:+;high:0;low:0;front:0;back:0;round:0	count	markedness_count
periodicGlottalSource:+		z	1/2	0.9621097845061294
periodicGlottalSource:-	ɬ	s	2/2	1.0
	1/2	2/2
	0.9025748456519439	1.0
