	labial:+;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:-;high:0;back:0	labial:-;coronal:+;lateral:+;strident:-;anterior:+;distributed:-;dorsal:-;high:0;back:0	labial:-;coronal:+;lateral:-;strident:-;anterior:+;distributed:-;dorsal:-;high:0;back:0	labial:-;coronal:+;lateral:-;strident:+;anterior:+;distributed:-;dorsal:-;high:0;back:0	labial:-;coronal:+;lateral:-;strident:+;anterior:-;distributed:+;dorsal:-;high:0;back:0	labial:-;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:+;high:+;back:-	labial:-;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:+;high:-;back:+	count	markedness_count
periodicGlottalSource:+;constrictedGlottis:+;category:affricate|plosive	p̰	-	t̰	ts̰	t̠ʃ̰	k̰	q̰	6/6	1.0
periodicGlottalSource:+;category:fricative				z				1/7	0.278478317890408
periodicGlottalSource:-;category:fricative | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative		ɬ		s				2/7	0.4074016206739682
periodicGlottalSource:-;constrictedGlottis:-;category:affricate|plosive	p		t	ts	t̠ʃ	k	q	6/7	0.9937437574039594
	2/4	1/3	2/4	4/4	2/4	2/4	2/4
	0.6803841808941471	0.695555325891245	0.9111738850508495	1.0	0.5215891040321534	0.7906200487692153	0.5269710085738567
