	labial:+;coronal:-;dorsal:-;high:0;back:0	labial:-;coronal:+;dorsal:-;high:0;back:0	labial:-;coronal:-;dorsal:+;high:+;back:-	labial:-;coronal:-;dorsal:+;high:-;back:+	count	markedness_count
periodicGlottalSource:+;constrictedGlottis:+	p̰	t̰	k̰	q̰	4/4	1.0
periodicGlottalSource:-;constrictedGlottis:-	p	t	k	q	4/4	1.0
	2/2	2/2	2/2	2/2
	1.0	1.0	1.0	1.0
