	labiodental:0;strident:+;distributed:0;dorsal:-;round:0	labiodental:0;strident:0;distributed:0;dorsal:-;round:0	labiodental:0;strident:-,+;distributed:-,+;dorsal:-,+;round:0 | labiodental:0;strident:-,-,+;distributed:-,-,+;dorsal:-,-,+;round:0	count	markedness_count
periodicGlottalSource:-;spreadGlottis:-;sonorant:-;nasal:-	t̪s̪|ts	-	tɕ	2/2	1.0
periodicGlottalSource:-;spreadGlottis:+;sonorant:-;nasal:- | periodicGlottalSource:-;spreadGlottis:-,+;sonorant:-;nasal:-	t̪s̪ʰ|tsʰ	-	tɕʰ	2/2	1.0
periodicGlottalSource:+,-;spreadGlottis:-;sonorant:+,-;nasal:+,- | periodicGlottalSource:+,-,-;spreadGlottis:-;sonorant:+,-,-;nasal:+,-,-		n̪t̪s̪|nts	ntɕ	2/3	0.0493916121312423
	2/3	1/1	3/3
	0.989277115157229	1.0	1.0
