	labial:+;coronal:-;distributed:0;dorsal:-;high:0;back:0	labial:-;coronal:+;distributed:0;dorsal:-;high:0;back:0	labial:-;coronal:-;distributed:0;dorsal:+;high:+;back:-	labial:-;coronal:-;distributed:0;dorsal:+;high:-;back:+	count	markedness_count
periodicGlottalSource:-;spreadGlottis:-;sonorant:-;nasal:-	p	t̪|t	k	q	4/4	1.0
periodicGlottalSource:+,-;spreadGlottis:-;sonorant:+,-;nasal:+,-	mp	n̪t̪|nt	ŋk		3/4	0.8821959230535144
periodicGlottalSource:-;spreadGlottis:+;sonorant:-;nasal:-	pʰ	t̪ʰ|tʰ	kʰ	qʰ	4/4	1.0
	3/3	3/3	3/3	2/3
	1.0	1.0	1.0	0.9840106549414914
