	labial:+;coronal:-;anterior:0;distributed:0;dorsal:-;front:0	labial:-;coronal:+;anterior:+;distributed:-;dorsal:-;front:0	labial:-;coronal:+;anterior:-;distributed:+;dorsal:+;front:+	labial:-;coronal:-;anterior:0;distributed:0;dorsal:+;front:-	count	markedness_count
periodicGlottalSource:+;loweredLarynxImplosive:-	b	d		ɡ	3/4	0.9267864868833698
periodicGlottalSource:+;loweredLarynxImplosive:+		ɗ	ʄ	ɠ	3/4	0.5933766513506642
periodicGlottalSource:-;loweredLarynxImplosive:-	p	t		k	3/4	0.9598221335778647
	2/3	3/3	1/3	3/3
	0.9673403755413231	1.0	0.05169979209724683	1.0
