	labiodental:0;coronal:+;anterior:+;distributed:-;dorsal:-;round:0	labiodental:0;coronal:+;anterior:-;distributed:+;dorsal:-;round:0	labiodental:0;coronal:-;anterior:0;distributed:0;dorsal:+;round:0	count	markedness_count
periodicGlottalSource:-;constrictedGlottis:+;raisedLarynxEjective:+	sʼ	ʃʼ	xʼ	3/3	1.0
periodicGlottalSource:+;constrictedGlottis:-;raisedLarynxEjective:-	z	ʒ	ɣ	3/3	1.0
periodicGlottalSource:-;constrictedGlottis:-;raisedLarynxEjective:-	s	ʃ	x	3/3	1.0
	3/3	3/3	3/3
	1.0	1.0	1.0
