	labial:+;coronal:-;anterior:0;distributed:0;dorsal:-;front:0	labial:-;coronal:+;anterior:+;distributed:+;dorsal:-;front:0	labial:-;coronal:+;anterior:+;distributed:-;dorsal:-;front:0	labial:-;coronal:+;anterior:-;distributed:+;dorsal:+;front:+	labial:-;coronal:-;anterior:0;distributed:0;dorsal:+;front:-	count	markedness_count
periodicGlottalSource:+;loweredLarynxImplosive:-	b		d		ɡ	3/5	0.8302387416241986
periodicGlottalSource:+;loweredLarynxImplosive:+	ɓ		ɗ			2/5	0.766237553116922
periodicGlottalSource:-;loweredLarynxImplosive:-	p	t̪	t	c	k	5/5	1.0
	3/3	1/3	3/3	1/3	2/3
	1.0	0.7369984413764026	1.0	0.5392841485758026	0.9942958712195662
