	labial:+;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:-	labial:-;coronal:+;lateral:+;strident:-;anterior:+;distributed:-;dorsal:-	labial:-;coronal:+;lateral:-;strident:+;anterior:+;distributed:-;dorsal:-	labial:-;coronal:+;lateral:-;strident:+;anterior:-;distributed:+;dorsal:-	labial:-;coronal:+;lateral:-;strident:+;anterior:-;distributed:-;dorsal:-	labial:-;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:+	count	markedness_count
periodicGlottalSource:+			z	ʒ		ɣ	3/6	0.6446210775170484
periodicGlottalSource:-	f	ɬ	s	ʃ	ʂ	x	6/6	1.0
	1/2	1/2	2/2	2/2	1/2	2/2
	0.6625210710769323	0.9048884957099266	1.0	1.0	0.7852344022042395	1.0
