	labial:+;coronal:-;anterior:0;distributed:0;dorsal:-;high:0;back:0	labial:-;coronal:+;anterior:+;distributed:-;dorsal:-;high:0;back:0	labial:-;coronal:+;anterior:-;distributed:+;dorsal:-;high:0;back:0	labial:-;coronal:-;anterior:0;distributed:0;dorsal:+;high:+;back:- | labial:-;coronal:-;anterior:0;distributed:0;dorsal:+;high:-;back:+	count	markedness_count
periodicGlottalSource:+		z	ʒ	ʁ	3/4	0.7318747458391051
periodicGlottalSource:-	f	s	ʃ	x	4/4	1.0
	1/2	2/2	2/2	2/2
	0.6625450972908989	1.0	1.0	1.0
