	labial:+;coronal:-;distributed:0;dorsal:-	labial:-;coronal:+;distributed:0;dorsal:-	labial:-;coronal:-;distributed:0;dorsal:+	count	markedness_count
periodicGlottalSource:+	b	d̪|d	ɡ	3/3	1.0
periodicGlottalSource:-	p	t̪|t	k	3/3	1.0
	2/2	2/2	2/2
	1.0	1.0	1.0
