	labial:+;labiodental:-;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:-;round:- | labial:+;labiodental:+;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:-;round:-	labial:+,-;labiodental:-;coronal:-,+;lateral:-;strident:-;anterior:+;distributed:-;dorsal:-;round:-	labial:-;labiodental:0;coronal:+;lateral:+;strident:-;anterior:+;distributed:-;dorsal:-;round:0	labial:-;labiodental:0;coronal:+;lateral:-;strident:-;anterior:+;distributed:-;dorsal:-;round:0	labial:-;labiodental:0;coronal:+;lateral:-;strident:+;anterior:+;distributed:-;dorsal:-;round:0	labial:-;labiodental:0;coronal:+;lateral:-;strident:+;anterior:-;distributed:+;dorsal:-;round:0 | labial:-;labiodental:0;coronal:+;lateral:-;strident:-,+;anterior:-;distributed:+;dorsal:-;round:0	labial:+;labiodental:-;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:+;round:-	labial:-;labiodental:0;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:+;round:0	labial:-,+;labiodental:-;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:+;round:+ | labial:-,-,+;labiodental:-;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:+;round:+	count	markedness_count
periodicGlottalSource:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;category:affricate|plosive	p	pt		t	ts	t̠ʃ	kp	k	kʷ	8/9	0.9906861799814413
periodicGlottalSource:+;loweredLarynxImplosive:-;sonorant:-;nasal:-;category:affricate|plosive	b			d	dz	d̠ʒ	ɡb	ɡ	ɡʷ	7/9	0.9979382878648607
periodicGlottalSource:+;loweredLarynxImplosive:+;sonorant:-;nasal:-;category:affricate|plosive	ɓ	-	-	ɗ	-	-	-		-	2/3	0.8038043837605665
periodicGlottalSource:+;category:fricative	v	-	ɮ		z	ʒ	-	ɣ	ɣʷ	6/7	0.9401659305671111
periodicGlottalSource:+;loweredLarynxImplosive:-;sonorant:+,-;nasal:+,-;category:affricate|plosive	mb	-		nd	ndz	n̠d̠ʒ	ŋmɡb	ŋɡ	ŋɡʷ	7/8	0.9998944426404568
periodicGlottalSource:-;category:fricative | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative	f	-	ɬ		s	ʃ	-	x	xʷ	6/7	0.9478645167235582
	6/6	1/2	2/5	4/6	5/5	5/5	3/3	5/6	5/5
	1.0	0.5728601891217322	0.6387032679104904	0.9390572809857787	1.0	1.0	1.0	0.9904498157451962	1.0
