	labiodental:0;coronal:+;lateral:+;strident:-;anterior:+;distributed:-;dorsal:-;round:0	labiodental:0;coronal:+;lateral:-;strident:+;anterior:+;distributed:-;dorsal:-;round:0	labiodental:0;coronal:+;lateral:-;strident:+;anterior:-;distributed:+;dorsal:-;round:0	labiodental:0;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:+;round:0	count	markedness_count
periodicGlottalSource:+		z	ʒ	ɣ	3/4	0.9776487958999501
periodicGlottalSource:-	ɬ	s	ʃ	x	4/4	1.0
	1/2	2/2	2/2	2/2
	0.9048884957099266	1.0	1.0	1.0
