	labial:+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;front:0 | labial:+;labiodental:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;front:0	labial:-;labiodental:0;coronal:+;strident:-;anterior:+;distributed:-;dorsal:-;front:0	labial:-;labiodental:0;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-;front:0	labial:-;labiodental:0;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-;front:0	labial:-;labiodental:0;coronal:+;strident:-;anterior:+,-;distributed:-,+;dorsal:-,+;front:+	labial:-;labiodental:0;coronal:+;strident:-;anterior:-;distributed:+;dorsal:+;front:+	labial:-;labiodental:0;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;front:-	count	markedness_count
periodicGlottalSource:-;sonorant:-;nasal:-;category:affricate|plosive	p	t	ts	t̠ʃ	-	c	k	6/6	1.0
periodicGlottalSource:+;sonorant:-;nasal:-;category:affricate|plosive	b	d		d̠ʒ	-	ɟ	ɡ	5/6	0.9575587171875425
periodicGlottalSource:+;category:fricative					-		ɣ	1/6	0.2121631720021747
periodicGlottalSource:+;sonorant:+,-;nasal:+,-;category:affricate|plosive	mb	nd			nɟ		ŋɡ	4/7	0.8250118220411956
periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:affricate|plosive		nt			-		ŋk	2/6	0.5142418152314506
periodicGlottalSource:-;category:fricative | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative	f		s		-			2/6	0.5430981412392102
	4/6	4/6	2/6	2/6	1/1	2/6	5/6
	0.915118566993745	0.903687025317938	0.7944472059586944	0.6265968549094871	1.0	0.8053943482030848	0.8749190575150683
