	labial:+;coronal:-;dorsal:-;front:0	labial:-;coronal:+;dorsal:-;front:0	labial:+;coronal:-;dorsal:-,+;front:+	labial:-;coronal:+;dorsal:-,+;front:+	labial:-;coronal:-;dorsal:+;front:-	labial:-;coronal:-;dorsal:+;front:-,+	count	markedness_count
periodicGlottalSource:+	b	d	bʲ	dʲ	ɡ	ɡʲ	6/6	1.0
periodicGlottalSource:-	p	t			k		3/6	0.9485732785611912
	2/2	2/2	1/2	1/2	2/2	1/2
	1.0	1.0	0.380471005987578	0.35390045075573595	1.0	0.4414718975984564
