	labiodental:0;strident:+;anterior:+;distributed:-;dorsal:-;round:0	labiodental:0;strident:-,+;anterior:+;distributed:-,+;dorsal:-,+;round:0 | labiodental:0;strident:+;anterior:-;distributed:+;dorsal:-;round:0 | labiodental:0;strident:+;anterior:-;distributed:+;dorsal:-;round:0;high:0;low:0;front:0;back:0	count	markedness_count
periodicGlottalSource:+		dʑ	1/2	0.778956367833734
periodicGlottalSource:-	ts	t̠ʃ	2/2	1.0
	1/2	2/2
	0.8232968039290527	1.0
