	labial:+;coronal:-;distributed:0;dorsal:-;front:0	labial:-;coronal:+;distributed:-;dorsal:-;front:0	labial:-;coronal:+;distributed:-;dorsal:-,+;front:+	labial:-;coronal:+;distributed:+;dorsal:+;front:+	labial:-;coronal:-;distributed:0;dorsal:+;front:-	count	markedness_count
periodicGlottalSource:+	v	z		ʑ		3/5	0.8116727745286112
periodicGlottalSource:-	f	s	sʲ	ɕ	x	5/5	1.0
	2/2	2/2	1/2	2/2	1/2
	1.0	1.0	0.7714735016181333	1.0	0.6980646335439697
