	labial:+;coronal:-;lateral:-;strident:0;high:0;low:0;front:0;back:0	labial:-;coronal:+;lateral:+;strident:-;high:0;low:0;front:0;back:0	labial:-;coronal:+;lateral:-;strident:+;high:0;low:0;front:0;back:0	count	markedness_count
periodicGlottalSource:+	v	ɮ	z	3/3	1.0
periodicGlottalSource:-	f	ɬ	s	3/3	1.0
	2/2	2/2	2/2
	1.0	1.0	1.0
