	labial:+;coronal:-;anterior:0;dorsal:-	labial:-;coronal:+;anterior:+;dorsal:-	labial:-;coronal:+;anterior:-;dorsal:-	labial:+;coronal:-;anterior:0;dorsal:+	labial:-;coronal:-;anterior:0;dorsal:+	count	markedness_count
periodicGlottalSource:+	b	d	ɖ	ɡb	ɡ	5/5	1.0
periodicGlottalSource:-	p	t		kp	k	4/5	0.9486351626203444
	2/2	2/2	1/2	2/2	2/2
	1.0	1.0	0.18254808563574523	1.0	1.0
