	labiodental:0;strident:+;anterior:+;distributed:-;dorsal:-;round:0	labiodental:0;strident:-;anterior:-;distributed:+;dorsal:+;round:0	count	markedness_count
periodicGlottalSource:+;spreadGlottis:-	dz	ɟʝ	2/2	1.0
periodicGlottalSource:-;spreadGlottis:-	ts	cç	2/2	1.0
periodicGlottalSource:-;spreadGlottis:+	tsʰ	cçʰ	2/2	1.0
	3/3	3/3
	1.0	1.0
