	labiodental:0;anterior:+;high:0;low:0;front:0;back:0;round:0 | labiodental:0;anterior:-;high:0;low:0;front:0;back:0;round:0 | labiodental:0;anterior:-;high:0;low:0;front:0;back:0;round:0;strident:+;distributed:-	count	markedness_count
spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-	ts	1/1	1.0
spreadGlottis:-;constrictedGlottis:+;raisedLarynxEjective:+	tsʼ	1/1	1.0
spreadGlottis:+;constrictedGlottis:-;raisedLarynxEjective:-	ʈʂʰ	1/1	1.0
	3/3
	1.0
