	labial:-;labiodental:0;coronal:+;lateral:-;strident:+;anterior:+;distributed:-;dorsal:-;high:0;low:0;front:0;back:0;epilaryngealSource:-;round:0;retractedTongueRoot:-	count	markedness_count
constrictedGlottis:-	s	1/1	1.0
constrictedGlottis:+	sˀ	1/1	1.0
	2/2
	1.0
