	labial:-;coronal:+;dorsal:-	labial:-;coronal:-;dorsal:+	labial:-,+;coronal:-;dorsal:+	count	markedness_count
spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-	t	k	kʷ	3/3	1.0
spreadGlottis:+;constrictedGlottis:-;raisedLarynxEjective:-	tʰ	kʰ	kʷʰ	3/3	1.0
spreadGlottis:-;constrictedGlottis:+;raisedLarynxEjective:+		kʼ		1/3	0.5412748022395434
	2/3	3/3	2/3
	0.9243185027193029	1.0	0.7835242758606231
