	labial:+;coronal:-;dorsal:-;round:-	labial:-;coronal:+;dorsal:-;round:0	labial:+;coronal:-;dorsal:+;round:-,+	labial:-;coronal:-;dorsal:+;round:0	count	markedness_count
periodicGlottalSource:+	b	d	ɡbʷ	ɡ	4/4	1.0
periodicGlottalSource:-	p	t		k	3/4	0.9998480990129895
	2/2	2/2	1/2	2/2
	1.0	1.0	0.4776447975067577	1.0
