p		t	pʲ	-	k	kʲ	tɕ	6/7	0.9943545219244133
	ɬ	s		ɬʲ	x	xʲ	ɕ	6/8	0.8440634786351492
1/2	1/2	2/2	1/2	1/1	2/2	2/2	2/2
0.6996354507459577	0.7898268936768643	1.0	0.6448088849583421	1.0	1.0	1.0	1.0
