	labial:+;coronal:-;lateral:-;strident:0;distributed:0;dorsal:-;front:0	labial:-;coronal:+;lateral:+;strident:-;distributed:-;dorsal:-;front:0	labial:-;coronal:+;lateral:-;strident:-;distributed:-;dorsal:-;front:0 | labial:-;coronal:+;lateral:-;strident:+;distributed:-;dorsal:-;front:0	labial:+;coronal:-;lateral:-;strident:0;distributed:0;dorsal:-,+;front:+	labial:-;coronal:+;lateral:+;strident:-;distributed:-;dorsal:-,+;front:+	labial:-;coronal:-;lateral:-;strident:0;distributed:0;dorsal:+;front:-	labial:-;coronal:-;lateral:-;strident:0;distributed:0;dorsal:+;front:-,+	labial:-;coronal:+;lateral:-;strident:-,+;distributed:-,+;dorsal:-,+;front:+ | labial:-;coronal:+;lateral:-;strident:+;distributed:+;dorsal:+;front:+	count	markedness_count
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;fortis:-;category:affricate|plosive	p		t	pʲ	-	k	kʲ	tɕ	6/7	0.9943545219244133
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;fortis:-;category:fricative		ɬ	s		ɬʲ	x	xʲ	ɕ	6/8	0.8440634786351492
	1/2	1/2	2/2	1/2	1/1	2/2	2/2	2/2
	0.6996354507459577	0.7898268936768643	1.0	0.6448088849583421	1.0	1.0	1.0	1.0
