	labial:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-	labial:-;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-	labial:-;coronal:+;strident:+;anterior:-;distributed:+;dorsal:- | labial:-;coronal:+;strident:-,+;anterior:-;distributed:+;dorsal:-	labial:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+	count	markedness_count
periodicGlottalSource:-;sonorant:-;nasal:-	pf	ts	t̠ʃ	kx	4/4	1.0
periodicGlottalSource:+;sonorant:-;nasal:-	bv	dz	d̠ʒ	ɡɣ	4/4	1.0
periodicGlottalSource:+;sonorant:+,-;nasal:+,-	mbv	ndz	n̠d̠ʒ	-	3/3	1.0
	3/3	3/3	3/3	2/2
	1.0	1.0	1.0	1.0
