	t	kp	k	3/4	0.7424540129231068
b	d	ɡb	ɡ	4/4	1.0
mb	nd	ŋmɡb	ŋɡ	4/4	1.0
2/3	3/3	3/3	3/3
0.35742956402202924	1.0	1.0	1.0
