	t	-	kp	k	3/4	0.7359985569481335
b	d	-	ɡb	ɡ	4/4	1.0
mb	nd	-	ŋmɡb	ŋɡ	4/4	1.0
pf	ts	t̠ʃ	-	kx	4/4	1.0
bv	dz	d̠ʒ	-	ɡɣ	4/4	1.0
v	z	ʒ	-		3/4	0.7554035777741186
mbv	ndz	n̠d̠ʒ	-	-	3/3	1.0
f	s	ʃ	-		3/4	0.801866792995265
7/8	8/8	5/5	3/3	5/7
0.5030631271761461	1.0	1.0	1.0	0.8213990083936559
