	labial:+;coronal:-;dorsal:-	labial:-;coronal:+;dorsal:-	labial:+;coronal:-;dorsal:+	labial:-;coronal:-;dorsal:+	count	markedness_count
periodicGlottalSource:-;sonorant:-;nasal:-		t	kp	k	3/4	0.7424540129231068
periodicGlottalSource:+;sonorant:-;nasal:-	b	d	ɡb	ɡ	4/4	1.0
periodicGlottalSource:+;sonorant:+,-;nasal:+,-	mb	nd	ŋmɡb	ŋɡ	4/4	1.0
	2/3	3/3	3/3	3/3
	0.35742956402202924	1.0	1.0	1.0
