	labial:+;coronal:-;lateral:-;strident:0;dorsal:-;high:0;back:0	labial:-;coronal:+;lateral:-;strident:-;dorsal:-;high:0;back:0	labial:-;coronal:+;lateral:+;strident:-;dorsal:-;high:0;back:0 | labial:-;coronal:+;lateral:-,+;strident:-;dorsal:-;high:0;back:0	labial:-;coronal:+;lateral:-;strident:+;dorsal:-;high:0;back:0	labial:-;coronal:-;lateral:-;strident:0;dorsal:+;high:+;back:-	labial:-;coronal:-;lateral:-;strident:0;dorsal:+;high:-;back:+	count	markedness_count
constrictedGlottis:-;raisedLarynxEjective:-;category:affricate|plosive	p	t	tɬ	ts	k	q	6/6	1.0
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;fortis:-;category:fricative			ɬ	s	x		3/6	0.7339478019733207
constrictedGlottis:+;raisedLarynxEjective:+;category:affricate|plosive	pʼ	tʼ		tsʼ	kʼ	qʼ	5/6	0.9653934044369094
	2/3	2/3	2/3	3/3	3/3	2/3
	0.8406175599330874	0.9854350127717142	0.8261860897223683	1.0	1.0	0.7116674456042692
