	labiodental:0;lateral:-,+;strident:-;high:0;low:0;front:0;back:0;round:0	labiodental:0;lateral:-;strident:+;high:0;low:0;front:0;back:0;round:0	count	markedness_count
constrictedGlottis:-;raisedLarynxEjective:-	tɬ	ts	2/2	1.0
constrictedGlottis:+;raisedLarynxEjective:+		tsʼ	1/2	0.8880911440864585
	1/2	2/2
	0.5961093977280472	1.0
