	labial:+;coronal:-;anterior:0;distributed:0;dorsal:-;front:0;round:-	labial:-;coronal:+;anterior:+;distributed:-;dorsal:-;front:0;round:0	labial:-;coronal:+;anterior:-;distributed:+;dorsal:+;front:+;round:0	labial:-;coronal:-;anterior:0;distributed:0;dorsal:+;front:-;round:0	labial:-,+;coronal:-;anterior:0;distributed:0;dorsal:+;front:-;round:+	count	markedness_count
periodicGlottalSource:-;sonorant:-;nasal:-	p	t	c	k	kʷ	5/5	1.0
periodicGlottalSource:+;sonorant:-;nasal:-	b			ɡ		2/5	0.5748402776810669
periodicGlottalSource:+;sonorant:+,-;nasal:+,-	mb	nd		ŋɡ		3/5	0.9176911158170764
	3/3	2/3	1/3	3/3	1/3
	1.0	0.7161299328592508	0.5315130256327736	1.0	0.8239507040742778
