	labial:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;front:0;round:-	labial:-;coronal:+;strident:-;anterior:+;distributed:-;dorsal:-;front:0;round:0 | labial:-;coronal:+;strident:-;anterior:+;distributed:+;dorsal:-;front:0;round:0 | labial:-;coronal:+;strident:+;anterior:+;distributed:0;dorsal:-;front:0;round:0 | labial:-;coronal:+;strident:+;anterior:+;distributed:0;dorsal:-;front:0;round:0 | labial:-;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-;front:0;round:0 | labial:-;coronal:+;strident:-,+;anterior:+;distributed:-;dorsal:-;front:0;round:0 | labial:-;coronal:+;strident:+;anterior:-;distributed:-;dorsal:-;front:0;round:0 | labial:-;coronal:+;strident:+;anterior:+;distributed:+;dorsal:-;front:0;round:0 | labial:-;coronal:+;strident:-;anterior:-;distributed:-;dorsal:-;front:0;round:0;lateral:-	labial:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;front:-;round:0	labial:-,+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;front:-;round:+ | labial:-,-,+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;front:-;round:+ | labial:-,+;coronal:+;strident:-;anterior:-;distributed:+;dorsal:+;front:+;round:+ | labial:-,-,+;coronal:+;strident:-;anterior:-;distributed:+;dorsal:+;front:+;round:+ | labial:-,+;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-;front:0;round:+;high:0;low:0;back:0 | labial:-,-,+;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-;front:0;round:+;high:0;low:0;back:0	labial:-;coronal:+;strident:-;anterior:-;distributed:+;dorsal:+;front:+;round:0 | labial:-;coronal:+;strident:+;anterior:+;distributed:+;dorsal:+;front:+;round:0 | labial:-;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-;front:0;round:0 | labial:-;coronal:+;strident:-,+;anterior:-;distributed:+;dorsal:-;front:0;round:0 | labial:-;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-;front:0;round:0;high:0;low:0;back:0	count	markedness_count
periodicGlottalSource:-;sonorant:-;nasal:-;category:plosive	p	t	k	kʷ	c	5/5	1.0
periodicGlottalSource:+;sonorant:-;nasal:-;category:plosive	b		ɡ			2/5	0.5748402776810669
periodicGlottalSource:+;sonorant:+,-;nasal:+,-;category:plosive	mb	nd	ŋɡ			3/5	0.9176911158170764
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;fortis:-;category:fricative		s			ʃ	2/5	0.6713687565992714
	3/4	3/4	3/4	1/4	2/4
	0.8411639290722114	0.7958922901307245	0.8657832370893758	0.632865169892852	0.843754205868431
