	labial:+;labiodental:-;coronal:-;strident:0;distributed:0;dorsal:- | labial:+;labiodental:-;coronal:-;strident:0;distributed:0;dorsal:-,+;front:-;round:- | labial:+;labiodental:-;coronal:-;strident:0;distributed:0;dorsal:-,-,+;front:-;round:- | labial:+;labiodental:+,-;coronal:-;strident:0;distributed:0;dorsal:-;round:-,+	labial:+;labiodental:+;coronal:-;strident:0;distributed:0;dorsal:- | labial:+;labiodental:+;coronal:-;strident:0;distributed:0;dorsal:-,+;front:-;round:-	labial:-;labiodental:0;coronal:+;strident:-;distributed:0;dorsal:- | labial:-;labiodental:0;coronal:+;strident:+;distributed:0;dorsal:- | labial:-;labiodental:0;coronal:+;strident:-,+;distributed:0;dorsal:- | labial:-;labiodental:0;coronal:+;strident:+;distributed:-;dorsal:-;anterior:- | labial:-;labiodental:0;coronal:+;strident:+;distributed:+;dorsal:-;anterior:- | labial:-;labiodental:0;coronal:+;strident:+;distributed:-;dorsal:-;anterior:+ | labial:-;labiodental:0;coronal:+;strident:+;distributed:+;dorsal:-;anterior:+ | labial:-;labiodental:0;coronal:+;strident:+;distributed:-;dorsal:- | labial:-;labiodental:0;coronal:+;strident:+;distributed:+;dorsal:-	labial:+;labiodental:-;coronal:-;strident:0;distributed:0;dorsal:+	labial:-;labiodental:0;coronal:-;strident:0;distributed:0;dorsal:+ | labial:-;labiodental:0;coronal:+;strident:+;distributed:+;dorsal:+;anterior:+;front:+ | labial:-;labiodental:0;coronal:+;strident:-;distributed:+;dorsal:+;anterior:-;front:+ | labial:-;labiodental:0;coronal:+;strident:+;distributed:+;dorsal:-,+;anterior:-;high:+;low:-;front:+;back:-	count	markedness_count
periodicGlottalSource:+;loweredLarynxImplosive:-;category:plosive	b	-	d̪|d	ɡb	ɡ	4/4	1.0
periodicGlottalSource:+;loweredLarynxImplosive:+;category:plosive	ɓ	-	ɗ̪|ɗ	-		2/3	0.6931675722443624
periodicGlottalSource:-;loweredLarynxImplosive:-;category:plosive | periodicGlottalSource:+,-;loweredLarynxImplosive:-;sonorant:+,-;nasal:+,-;category:plosive	p	-	t̪|t	kp	k	4/4	1.0
periodicGlottalSource:+;category:fricative	β	v	z̪|z	-	ɣ	4/4	1.0
periodicGlottalSource:-;category:fricative | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative		f	s̪|s	-		2/4	0.8371852698190894
	4/5	2/2	5/5	2/2	3/5
	0.9619233802574579	1.0	1.0	1.0	0.8624310375328688
