	labial:+;labiodental:-;coronal:-;distributed:0;dorsal:-	labial:+;labiodental:+;coronal:-;distributed:0;dorsal:-	labial:-;labiodental:0;coronal:+;distributed:0;dorsal:-	labial:-;labiodental:0;coronal:-;distributed:0;dorsal:+	count	markedness_count
periodicGlottalSource:+	β	v	z̪|z	ɣ	4/4	1.0
periodicGlottalSource:-		f	s̪|s		2/4	0.8371852698190894
	1/2	2/2	2/2	1/2
	0.5479002076962644	1.0	1.0	0.2955652519701484
