	labial:-;strident:+;high:0;low:0;front:0;back:0 | labial:-;strident:-,+;high:0;low:0;front:0;back:0	labial:-,+;strident:+;high:0;low:0;front:0;back:0	labial:-,-,+;strident:-,+;high:0;low:0;front:0;back:0	count	markedness_count
periodicGlottalSource:-;sonorant:-;nasal:-	t̠ʃ	t̠ʃʷ	-	2/2	1.0
periodicGlottalSource:+;sonorant:-;nasal:-	d̠ʒ	d̠ʒʷ	-	2/2	1.0
periodicGlottalSource:+;sonorant:+,-;nasal:+,-	n̠d̠ʒ	-	n̠d̠ʒʷ	2/2	1.0
	3/3	2/2	1/1
	1.0	1.0	1.0
