	labial:+;labiodental:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;round:-	labial:-;labiodental:0;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-;round:0 | labial:-;labiodental:0;coronal:+;strident:-,+;anterior:+;distributed:-;dorsal:-;round:0	labial:-;labiodental:0;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-;round:0	labial:-,+;labiodental:-;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-;round:+	labial:-,+;labiodental:-;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-;round:+	labial:-,-,+;labiodental:-;coronal:+;strident:-,+;anterior:+;distributed:-;dorsal:-;round:+	labial:-;labiodental:0;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;round:0	count	markedness_count
periodicGlottalSource:-;sonorant:-;nasal:-	f	s	ʃ	sʷ	ʃʷ	-	x	6/6	1.0
periodicGlottalSource:+;sonorant:-;nasal:-	v	z		zʷ		-		3/6	0.5197309668822127
periodicGlottalSource:+;sonorant:+,-;nasal:+,-	ɱv	nz		-	-	nzʷ		3/5	0.93664372520418
	3/3	3/3	1/3	2/2	1/2	1/1	1/3
	1.0	1.0	0.7843079521830666	1.0	0.5422640305835951	1.0	0.7044347480298516
