	labial:+;coronal:-;dorsal:-;high:0;back:0	labial:-;coronal:+;dorsal:-;high:0;back:0	labial:-;coronal:-;dorsal:+;high:+;back:-	labial:-;coronal:-;dorsal:+;high:-;back:+	count	markedness_count
periodicGlottalSource:+	v		ɣ	ʁ	3/4	0.5101953777770394
periodicGlottalSource:-		s	x	χ	3/4	0.8199409411414784
	1/2	1/2	2/2	2/2
	0.33745490270910106	0.7903072196662834	1.0	1.0
