	labial:+;labiodental:-;coronal:-;strident:0;dorsal:-;high:0;back:0 | labial:+;labiodental:+;coronal:-;strident:0;dorsal:-;high:0;back:0 | labial:+;labiodental:+,-;coronal:-;strident:0;dorsal:-;high:0;back:0;round:-,+	labial:-;labiodental:0;coronal:+;strident:-;dorsal:-;high:0;back:0 | labial:-;labiodental:0;coronal:+;strident:+;dorsal:-;high:0;back:0 | labial:-;labiodental:0;coronal:+;strident:-,+;dorsal:-;high:0;back:0 | labial:-;labiodental:0;coronal:+;strident:+;dorsal:-;high:0;back:0;distributed:- | labial:-;labiodental:0;coronal:+;strident:+;dorsal:-;high:0;back:0;distributed:+ | labial:-;labiodental:0;coronal:+;strident:+;dorsal:-;high:0;back:0;anterior:+;distributed:+	labial:-;labiodental:0;coronal:-;strident:0;dorsal:+;high:+;back:- | labial:-;labiodental:0;coronal:+;strident:+;dorsal:+;high:+;back:-;anterior:+;distributed:+;front:+ | labial:-;labiodental:0;coronal:+;strident:-;dorsal:+;high:+;back:-;anterior:-;distributed:+;front:+ | labial:-;labiodental:0;coronal:+;strident:+;dorsal:-,+;high:+;back:-;anterior:-;distributed:+;low:-;front:+	labial:-;labiodental:0;coronal:-;strident:0;dorsal:+;high:-;back:+	count	markedness_count
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;fortis:-;category:plosive	p	t	k	q	4/4	1.0
periodicGlottalSource:+;category:fricative	v		ɣ	ʁ	3/4	0.3600230308706308
periodicGlottalSource:-;category:fricative | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative		s	x	χ	3/4	0.8829336431675658
	2/3	2/3	3/3	3/3
	0.7364670815412615	0.850654503194546	1.0	1.0
