	labial:+;coronal:-;dorsal:-;round:-	labial:-;coronal:+;dorsal:-;round:0	labial:-;coronal:-;dorsal:+;round:0	labial:-,+;coronal:-;dorsal:+;round:+	count	markedness_count
periodicGlottalSource:-;sonorant:-;nasal:-	p	t	k	kʷ	4/4	1.0
periodicGlottalSource:+;sonorant:+,-;nasal:+,-	mb	nd	ŋɡ		3/4	0.9782996213862774
	2/2	2/2	2/2	1/2
	1.0	1.0	1.0	0.8208278419782055
