	labiodental:0;coronal:+;anterior:+;distributed:-;dorsal:-;high:0;low:0;back:0;round:0;retractedTongueRoot:-	labiodental:0;coronal:+;anterior:-;distributed:+;dorsal:-;high:0;low:0;back:0;round:0;retractedTongueRoot:-	labiodental:0;coronal:-;anterior:0;distributed:0;dorsal:+;high:+;low:-;back:-;round:0;retractedTongueRoot:-	labiodental:0;coronal:-;anterior:0;distributed:0;dorsal:+;high:-;low:+;back:+;round:0;retractedTongueRoot:+	count	markedness_count
periodicGlottalSource:+	z	ʒ		ʕ	3/4	0.6890960921642684
periodicGlottalSource:-	s	ʃ	x	ħ	4/4	1.0
	2/2	2/2	1/2	2/2
	1.0	1.0	0.7047042668910858	1.0
