			qʼ	1/4	0.4344727795436681
b	d		ɡ	3/4	0.9283071278071084
ɓ	ɗ		ɠ	3/4	0.883916444848449
p	t	c	k	4/4	1.0
3/4	3/4	1/4	4/4
0.9266677935065077	0.9258219955510325	0.48480511545115473	1.0
