	labiodental:0;coronal:+;lateral:+;strident:-;anterior:+;distributed:-;dorsal:-;round:0	labiodental:0;coronal:+;lateral:-;strident:+;anterior:+;distributed:-;dorsal:-;round:0	labiodental:0;coronal:+;lateral:-;strident:+;anterior:-;distributed:+;dorsal:-;round:0	labiodental:0;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:+;round:0	count	markedness_count
periodicGlottalSource:+				ɣ	1/4	0.367648252037408
periodicGlottalSource:-	ɬ	s	ʃ	x	4/4	1.0
	1/2	1/2	1/2	2/2
	0.9048884957099266	0.7917651840532136	0.784333365145307	1.0
