	labial:+;coronal:-;distributed:0;dorsal:-;round:-	labial:-;coronal:+;distributed:-;dorsal:-;round:0 | labial:-;coronal:+;distributed:+;dorsal:-;round:0 | labial:-;coronal:+;distributed:+;dorsal:-;round:0;strident:-	labial:-;coronal:-;distributed:0;dorsal:+;round:0	labial:-,+;coronal:-;distributed:0;dorsal:+;round:+	count	markedness_count
periodicGlottalSource:+;constrictedGlottis:+	p̰	t̰	k̰	k̰ʷ	4/4	1.0
periodicGlottalSource:-;constrictedGlottis:-	p	t̪	k	kʷ	4/4	1.0
	2/2	2/2	2/2	2/2
	1.0	1.0	1.0	1.0
