	labial:+;coronal:-;anterior:0;dorsal:-	labial:-;coronal:+;anterior:+;dorsal:-	labial:-;coronal:+;anterior:-;dorsal:-	labial:-;coronal:-;anterior:0;dorsal:+	count	markedness_count
spreadGlottis:-	p	t	ʈ	k	4/4	1.0
spreadGlottis:+	pʰ	tʰ	ʈʰ	kʰ	4/4	1.0
	2/2	2/2	2/2	2/2
	1.0	1.0	1.0	1.0
