	labial:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;low:0;retractedTongueRoot:-	labial:-;coronal:+;strident:-;anterior:+;distributed:+;dorsal:-;low:0;retractedTongueRoot:-	labial:-;coronal:+;strident:-;anterior:+;distributed:+;dorsal:-;low:0;retractedTongueRoot:-,+	labial:-;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-;low:0;retractedTongueRoot:-	labial:-;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-;low:0;retractedTongueRoot:-,+	labial:-;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-;low:0;retractedTongueRoot:-	labial:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;low:-;retractedTongueRoot:-	labial:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;low:+;retractedTongueRoot:+	count	markedness_count
periodicGlottalSource:+	v	ð	ðˤ	z	zˤ		ʁ	ʕ	7/8	0.8702358807330616
periodicGlottalSource:-	f	θ		s	sˤ	ʃ	χ	ħ	7/8	0.9999382743556782
	2/2	2/2	1/2	2/2	2/2	1/2	2/2	2/2
	1.0	1.0	0.6121112929623568	1.0	1.0	0.7852728912936696	1.0	1.0
