	labial:-;labiodental:0;coronal:+;lateral:-;strident:+;anterior:+;distributed:-;dorsal:-;high:0;low:0;front:0;back:0;epilaryngealSource:-;round:0;retractedTongueRoot:-	count	markedness_count
spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;DEVOICED:-	t̺s̺	1/1	1.0
spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;DEVOICED:+	d̺̥z̺̥	1/1	1.0
spreadGlottis:-;constrictedGlottis:+;raisedLarynxEjective:+	t̺s̺ʼ	1/1	1.0
spreadGlottis:+;constrictedGlottis:-;raisedLarynxEjective:-	t̺s̺ʰ	1/1	1.0
	4/4
	1.0
