	labial:+;coronal:-;dorsal:-;high:0;back:0;round:-	labial:-;coronal:+;dorsal:-;high:0;back:0;round:0	labial:-;coronal:-;dorsal:+;high:+;back:-;round:0	labial:-,+;coronal:-;dorsal:+;high:+;back:-;round:+	labial:-;coronal:-;dorsal:+;high:-;back:+;round:0	labial:-,+;coronal:-;dorsal:+;high:-;back:+;round:+	count	markedness_count
spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;DEVOICED:-	p	t̺	k	kʷ	q	qʷ	6/6	1.0
spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;DEVOICED:+	b̥	d̺̥	ɡ̊	ɡ̊ʷ		-	4/5	0.9139661316024136
spreadGlottis:+;constrictedGlottis:-;raisedLarynxEjective:-	pʰ	t̺ʰ	kʰ	kʷʰ			4/6	0.913924504100995
spreadGlottis:-;constrictedGlottis:+;raisedLarynxEjective:+	pʼ	t̺ʼ	kʼ	kʷʼ			4/6	0.858043358107413
	4/4	4/4	4/4	4/4	1/4	1/3
	1.0	1.0	1.0	1.0	0.5328830372626188	0.4726439546590285
