	labial:+;labiodental:-;coronal:-;strident:0;anterior:0;dorsal:-;high:0;front:0;back:0 | labial:+;labiodental:+;coronal:-;strident:0;anterior:0;dorsal:-;high:0;front:0;back:0	labial:-;labiodental:0;coronal:+;strident:-;anterior:+;dorsal:-;high:0;front:0;back:0 | labial:-;labiodental:0;coronal:+;strident:+;anterior:+;dorsal:-;high:0;front:0;back:0 | labial:-;labiodental:0;coronal:+;strident:+;anterior:+;dorsal:-;high:0;front:0;back:0;distributed:0	labial:-;labiodental:0;coronal:-;strident:0;anterior:0;dorsal:+;high:+;front:-;back:-	labial:-;labiodental:0;coronal:-;strident:0;anterior:0;dorsal:+;high:-;front:-;back:+	labial:-;labiodental:0;coronal:+;strident:-;anterior:-;dorsal:+;high:+;front:+;back:- | labial:-;labiodental:0;coronal:+;strident:+;anterior:-;dorsal:-;high:0;front:0;back:0 | labial:-;labiodental:0;coronal:+;strident:+;anterior:-;dorsal:-;high:0;front:0;back:0;distributed:+;low:0	count	markedness_count
periodicGlottalSource:+;category:affricate|plosive	b	d̪|d	ɡ		d̠ʒ	4/5	0.985546393401182
periodicGlottalSource:+;category:fricative		z̪|z			ʝ	2/5	0.6529597790174562
periodicGlottalSource:-;category:affricate|plosive	p	t̪|t	k	q	t̠ʃ	5/5	1.0
periodicGlottalSource:-;category:fricative | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative	f	s̪|s	x		ʃ	4/5	0.9583652863329486
	3/4	4/4	3/4	1/4	4/4
	0.9245986149390822	1.0	0.9591979237445315	0.5559788356559817	1.0
