			-	ɡ	1/4	0.3931478449077634
f		s	-		2/4	0.7314913434085694
p	t̪	t̠ʃ	pʷˠ	k	5/5	1.0
2/3	1/3	2/3	1/1	2/3
0.703227401898572	0.6530491784741371	0.8787126426110411	1.0	0.8704935942677532
