	labial:+;coronal:-;dorsal:-;round:-	labial:-;coronal:+;dorsal:-;round:0	labial:+;coronal:-;dorsal:-,+;round:-,+	labial:-;coronal:-;dorsal:+;round:0	count	markedness_count
periodicGlottalSource:+			-	ɡ	1/3	0.3399287975785911
periodicGlottalSource:-	p	t̪	pʷˠ	k	4/4	1.0
	1/2	1/2	1/1	2/2
	0.6479018739922252	0.6982137273139257	1.0	1.0
