	labial:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:- | labial:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-,+;front:-;round:- | labial:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-,-,+;front:-;round:-	labial:-;coronal:+;strident:-;anterior:+;distributed:-;dorsal:- | labial:-;coronal:+;strident:-;anterior:+;distributed:+;dorsal:- | labial:-;coronal:+;strident:+;anterior:+;distributed:0;dorsal:- | labial:-;coronal:+;strident:+;anterior:+;distributed:0;dorsal:- | labial:-;coronal:+;strident:+;anterior:+;distributed:-;dorsal:- | labial:-;coronal:+;strident:-,+;anterior:+;distributed:-;dorsal:- | labial:-;coronal:+;strident:+;anterior:-;distributed:-;dorsal:- | labial:-;coronal:+;strident:+;anterior:+;distributed:+;dorsal:- | labial:-;coronal:+;strident:-;anterior:-;distributed:-;dorsal:-;lateral:-	labial:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+ | labial:-;coronal:+;strident:+;anterior:+;distributed:+;dorsal:+;front:+ | labial:-;coronal:+;strident:-;anterior:-;distributed:+;dorsal:+;front:+ | labial:-;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-,+;high:+;low:-;front:+;back:- | labial:-;coronal:+;strident:+;anterior:-;distributed:+;dorsal:- | labial:-;coronal:+;strident:-,+;anterior:-;distributed:+;dorsal:- | labial:-;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-;high:0;low:0;front:0;back:0	count	markedness_count
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;fortis:-;category:plosive	p	t	k	3/3	1.0
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;fortis:-;category:fricative		s	ʃ	2/3	0.8410061877395753
	1/2	2/2	2/2
	0.6992274671292704	1.0	1.0
