	labial:+;coronal:-;dorsal:-	labial:-;coronal:+;dorsal:-	labial:-;coronal:-;dorsal:+	count	markedness_count
periodicGlottalSource:+;spreadGlottis:-	b	d		2/3	0.6622669910337713
periodicGlottalSource:-;spreadGlottis:-		t	k	2/3	0.7421884717673985
periodicGlottalSource:-;spreadGlottis:+		tʰ	kʰ	2/3	0.7311526621004322
	1/3	3/3	2/3
	0.348577082996228	1.0	0.71950672905944
