	labial:+;coronal:-;distributed:0;dorsal:-	labial:-;coronal:+;distributed:+;dorsal:-	labial:-;coronal:+;distributed:-;dorsal:-	labial:-;coronal:-;distributed:0;dorsal:+	count	markedness_count
periodicGlottalSource:-;constrictedGlottis:+;raisedLarynxEjective:+	pʼ		tʼ	kʼ	3/4	0.9365671448231508
periodicGlottalSource:+;constrictedGlottis:-;raisedLarynxEjective:-	b	d̪	d	ɡ	4/4	1.0
periodicGlottalSource:-;constrictedGlottis:-;raisedLarynxEjective:-		t̪			1/4	0.06230029875576189
	2/3	2/3	2/3	2/3
	0.4217690621891461	0.913506251414452	0.3582242421977736	0.3947196733274398
