	labiodental:0;coronal:+;lateral:+;strident:-;anterior:+;dorsal:-;high:0;back:0;round:0	labiodental:0;coronal:+;lateral:-;strident:-;anterior:+;dorsal:-;high:0;back:0;round:0	labiodental:0;coronal:+;lateral:-;strident:+;anterior:-;dorsal:-;high:0;back:0;round:0	labiodental:0;coronal:-;lateral:-;strident:0;anterior:0;dorsal:+;high:+;back:-;round:0	labiodental:0;coronal:-;lateral:-;strident:0;anterior:0;dorsal:+;high:-;back:+;round:0	count	markedness_count
periodicGlottalSource:+		ð	ʒ	ɣ	ʁ	4/5	0.9758289520079227
periodicGlottalSource:-	ɬ̪|ɬ		ʃ	x	χ	4/5	0.9342445192845295
	1/2	1/2	2/2	2/2	2/2
	0.9025748456519439	0.2796579308132479	1.0	1.0	1.0
