	labial:+;coronal:-;anterior:0;distributed:0;dorsal:-;front:0 | labial:+;coronal:-;anterior:0;distributed:0;dorsal:-,+;front:-;round:- | labial:+;coronal:-;anterior:0;distributed:0;dorsal:-,-,+;front:-;round:-	labial:-;coronal:+;anterior:+;distributed:+;dorsal:-;front:0 | labial:-;coronal:+;anterior:+;distributed:-,+;dorsal:-;front:0 | labial:-;coronal:+;anterior:-;distributed:+;dorsal:-;front:0;strident:+ | labial:-;coronal:+;anterior:-;distributed:+;dorsal:-;front:0;strident:+ | labial:-;coronal:+;anterior:+;distributed:0;dorsal:-;front:0;strident:+ | labial:-;coronal:+;anterior:+;distributed:0;dorsal:-;front:0;strident:+	labial:-;coronal:+;anterior:+;distributed:-;dorsal:-;front:0	labial:-;coronal:+;anterior:-;distributed:-;dorsal:-;front:0 | labial:-;coronal:+;anterior:-;distributed:+;dorsal:-;front:0;strident:-	labial:-;coronal:+;anterior:+;distributed:+;dorsal:+;front:+	labial:-;coronal:-;anterior:0;distributed:0;dorsal:+;front:- | labial:-;coronal:+;anterior:-;distributed:+;dorsal:+;front:+;strident:-	count	markedness_count
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;fortis:-;category:plosive	p	t̪	t	ʈ	ȶ	k	6/6	1.0
periodicGlottalSource:+;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;fortis:-;category:fricative	β	ð					2/6	0.47881186526400044
	2/2	2/2	1/2	1/2	1/2	1/2
	1.0	1.0	0.8167971106926795	0.8814503126771855	0.9274917552989521	0.8822636294738887
